/home/lucas_rayder7/autoresearch/TestCLI/train.py:251: UserWarning: Argument(s) 'var_limit' are not valid for transform GaussNoise
  A.GaussNoise(var_limit=(5.0, 15.0), p=0.3),
Data: xView2 directory already exists at content/data/xview2_jpeg
Metadata: Normalization statistics already cached at content/data/dataset_stats.json
Engine starting on: cuda. Configuration: {'in_channels': 6, 'f1': 32, 'f2': 64, 'f3': 128, 'f4': 256, 'f5': 512}

Step 00150 (13.1%) | Smooth Loss: 2.83750 | Img/sec: 20 | Elapsed: 118s
Step 00151 (13.2%) | Smooth Loss: 2.75336 | Img/sec: 20 | Elapsed: 119s
Step 00152 (13.3%) | Smooth Loss: 2.69509 | Img/sec: 20 | Elapsed: 120s
Step 00153 (13.4%) | Smooth Loss: 2.69113 | Img/sec: 20 | Elapsed: 120s
Step 00154 (13.5%) | Smooth Loss: 2.70136 | Img/sec: 20 | Elapsed: 121s
Step 00155 (13.5%) | Smooth Loss: 2.75744 | Img/sec: 20 | Elapsed: 122s
Step 00156 (13.6%) | Smooth Loss: 2.83652 | Img/sec: 20 | Elapsed: 123s
Step 00157 (13.7%) | Smooth Loss: 2.97500 | Img/sec: 20 | Elapsed: 123s
Step 00158 (13.8%) | Smooth Loss: 2.88891 | Img/sec: 20 | Elapsed: 124s
Step 00159 (13.9%) | Smooth Loss: 2.93262 | Img/sec: 20 | Elapsed: 125s
Step 00160 (14.0%) | Smooth Loss: 2.88340 | Img/sec: 20 | Elapsed: 126s
Step 00161 (14.1%) | Smooth Loss: 2.83931 | Img/sec: 20 | Elapsed: 127s
Step 00162 (14.2%) | Smooth Loss: 2.75223 | Img/sec: 20 | Elapsed: 127s
Step 00163 (14.2%) | Smooth Loss: 2.70399 | Img/sec: 20 | Elapsed: 128s
Step 00164 (14.3%) | Smooth Loss: 2.72468 | Img/sec: 20 | Elapsed: 129s
Step 00165 (14.4%) | Smooth Loss: 2.67774 | Img/sec: 20 | Elapsed: 130s
Step 00166 (14.5%) | Smooth Loss: 2.76127 | Img/sec: 20 | Elapsed: 130s
Step 00167 (14.6%) | Smooth Loss: 2.70201 | Img/sec: 20 | Elapsed: 131s
Step 00168 (14.9%) | Smooth Loss: 2.69921 | Img/sec: 5 | Elapsed: 134s
Step 00169 (15.0%) | Smooth Loss: 2.63062 | Img/sec: 20 | Elapsed: 135s
Step 00170 (15.1%) | Smooth Loss: 2.56540 | Img/sec: 20 | Elapsed: 136s
Step 00171 (15.2%) | Smooth Loss: 2.53104 | Img/sec: 20 | Elapsed: 137s
Step 00172 (15.3%) | Smooth Loss: 2.54860 | Img/sec: 20 | Elapsed: 138s
Step 00173 (15.4%) | Smooth Loss: 2.52394 | Img/sec: 20 | Elapsed: 138s
Step 00174 (15.5%) | Smooth Loss: 2.56889 | Img/sec: 20 | Elapsed: 139s
Step 00175 (15.5%) | Smooth Loss: 2.51538 | Img/sec: 20 | Elapsed: 140s
Step 00176 (15.6%) | Smooth Loss: 2.48892 | Img/sec: 20 | Elapsed: 141s
Step 00177 (15.7%) | Smooth Loss: 2.55444 | Img/sec: 20 | Elapsed: 141s
Step 00178 (15.8%) | Smooth Loss: 2.56340 | Img/sec: 20 | Elapsed: 142s
Step 00179 (15.9%) | Smooth Loss: 2.52712 | Img/sec: 20 | Elapsed: 143s
Step 00180 (16.0%) | Smooth Loss: 2.47981 | Img/sec: 20 | Elapsed: 144s
Step 00181 (16.1%) | Smooth Loss: 2.47576 | Img/sec: 20 | Elapsed: 145s
Step 00182 (16.1%) | Smooth Loss: 2.57957 | Img/sec: 20 | Elapsed: 145s
Step 00183 (16.2%) | Smooth Loss: 2.67351 | Img/sec: 20 | Elapsed: 146s
